"id","Search_String","duplicate","created_at","updated_at"
"1","a","","2018-01-31 03:54:05","2018-01-31 03:54:05"
"3","ba","","2018-01-31 03:56:01","2018-01-31 03:56:01"
"4","u23","","2018-01-31 03:57:19","2018-01-31 03:57:19"
"5","a","","2018-01-31 04:19:20","2018-01-31 04:19:20"
"15","a","","2018-01-31 04:20:44","2018-01-31 04:20:44"
"17","a","","2018-01-31 04:21:26","2018-01-31 04:21:26"
"21","a","","2018-01-31 04:22:05","2018-01-31 04:22:05"
"30","ban","","2018-01-31 04:28:21","2018-01-31 04:28:21"
"31","ban","","2018-01-31 04:29:18","2018-01-31 04:29:18"
"32","ban","","2018-01-31 04:29:40","2018-01-31 04:29:40"
"33","ban","","2018-01-31 04:29:59","2018-01-31 04:29:59"
"34","a","","2018-01-31 04:31:48","2018-01-31 04:31:48"
"35","a","","2018-01-31 06:36:21","2018-01-31 06:36:21"
"39","a","","2018-01-31 06:37:36","2018-01-31 06:37:36"
"40","a","","2018-01-31 06:37:52","2018-01-31 06:37:52"
"41","a","","2018-01-31 06:38:14","2018-01-31 06:38:14"
"42","a","","2018-01-31 06:38:30","2018-01-31 06:38:30"
"43","a","","2018-01-31 06:38:32","2018-01-31 06:38:32"
"44","a","","2018-01-31 06:38:44","2018-01-31 06:38:44"
"45","a","","2018-01-31 06:43:06","2018-01-31 06:43:06"
"46","a","","2018-01-31 06:51:04","2018-01-31 06:51:04"
"47","a","","2018-01-31 06:51:28","2018-01-31 06:51:28"
"48","a","","2018-01-31 06:51:34","2018-01-31 06:51:34"
"49","a","","2018-01-31 06:51:44","2018-01-31 06:51:44"
"50","a","","2018-01-31 06:52:13","2018-01-31 06:52:13"
"51","a","","2018-01-31 06:55:00","2018-01-31 06:55:00"
"52","a","","2018-01-31 06:55:12","2018-01-31 06:55:12"
"53","a","","2018-01-31 06:56:45","2018-01-31 06:56:45"
"54","a","","2018-01-31 06:57:03","2018-01-31 06:57:03"
"55","a","","2018-01-31 06:57:59","2018-01-31 06:57:59"
"56","a","","2018-01-31 06:58:12","2018-01-31 06:58:12"
"57","a","","2018-01-31 07:00:31","2018-01-31 07:00:31"
"58","a","","2018-01-31 07:01:17","2018-01-31 07:01:17"
"59","a","","2018-01-31 08:55:22","2018-01-31 08:55:22"
